,año_dependencia,dependencia_clean,calidad_original_en_proceso,calidad_original_no_respondida,calidad_original_satisfactoria,calidad_real_en_proceso,calidad_real_no_respondida,calidad_real_satisfactoria,total,diferencia
0,2012,sep,949,1327,5575,949,2689,4213,7851,1362
1,2012,instituto mexicano del seguro social (imss),169,941,6429,169,4291,3079,7539,3350
2,2012,ssa,395,1056,4662,395,1847,3871,6113,791
3,2012,semarnat,255,1137,4184,255,3553,1768,5576,2416
4,2012,segob,556,1638,2349,556,2000,1987,4543,362
5,2012,shcp,100,947,3013,100,1355,2605,4060,408
6,2012,pemex,76,990,2756,76,1475,2271,3822,485
7,2012,sct,225,857,2333,225,1045,2145,3415,188
8,2012,organismo descentralizado,267,219,2815,267,1100,1934,3301,881
9,2012,sfp,102,1121,1596,102,1311,1406,2819,190
10,2012,cfe,373,144,1934,373,1691,387,2451,1547
11,2012,pgr,301,603,1534,301,952,1185,2438,349
12,2012,organismo autonomo,84,376,1860,84,729,1507,2320,353
13,2012,se,41,420,1661,41,896,1185,2122,476
14,2012,sedesol,130,172,1647,130,535,1284,1949,363
15,2012,sedena,50,152,1699,50,332,1519,1901,180
16,2012,sat,101,777,982,101,996,763,1860,219
17,2012,hospitales,102,167,1519,102,457,1229,1788,290
18,2012,stps,130,304,1314,130,455,1163,1748,151
19,2012,cofepris,32,130,1504,32,149,1485,1666,19
20,2012,sagarpa,57,428,1078,57,608,898,1563,180
21,2012,conacyt,54,180,1120,54,389,911,1354,209
22,2012,presidencia de la republica,30,467,851,30,517,801,1348,50
23,2012,instituto mexicano de la propiedad industrial,3,34,1307,3,48,1293,1344,14
24,2012,sectur,37,376,882,37,590,668,1295,214
25,2012,inai,63,648,560,63,935,273,1271,287
26,2012,ipn,39,109,1118,39,282,945,1266,173
27,2012,sre,74,348,800,74,468,680,1222,120
28,2012,empresas de participacion estatal,22,179,894,22,276,797,1095,97
29,2012,sedatu,73,287,699,73,710,276,1059,423
30,2012,policia federal,45,467,539,45,491,515,1051,24
31,2012,administracion portuaria integral,42,206,741,42,357,590,989,151
32,2012,sader,20,196,699,20,328,567,915,132
33,2012,instituto federal de telecomunicaciones (ift),26,174,704,26,488,390,904,314
34,2012,banca de desarrollo,52,331,480,52,389,422,863,58
35,2012,semar,16,61,741,16,74,728,818,13
36,2012,sener,24,398,314,24,432,280,736,34
37,2012,instituto nacional de migración,46,159,449,46,184,424,654,25
38,2012,profeco,120,166,345,120,221,290,631,55
39,2012,instituto del fondo nacional de la vivienda para los trabajadores,42,79,438,42,123,394,559,44
40,2012,archivo general de la nación,44,194,305,44,198,301,543,4
41,2012,sae,10,88,360,10,167,281,458,79
42,2012,inah,8,53,385,8,248,190,446,195
43,2012,cnbv,21,293,127,21,310,110,441,17
44,2012,registro agrario nacional,7,132,272,7,137,267,411,5
45,2012,procuraduría federal del consumidor,15,36,337,15,104,269,388,68
46,2012,secretariado ejecutivo del sistema nacional de seguridad pública,11,197,176,11,243,130,384,46
47,2012,aeropuertos y servicios auxiliares (asa),17,115,239,17,130,224,371,15
48,2012,secretaría de cultura,14,16,328,14,27,317,358,11
49,2012,capufe,21,97,232,21,112,217,350,15
50,2012,sspc,4,124,162,4,129,157,290,5
51,2012,administracion publica federal,10,118,131,10,130,119,259,12
52,2012,lotenal,9,5,207,9,19,193,221,14
53,2012,secretaria de bienestar,2,16,113,2,47,82,131,31
54,2013,instituto mexicano del seguro social (imss),351,503,9765,351,4872,5396,10619,4369
55,2013,sep,1166,1542,6338,1166,3204,4676,9046,1662
56,2013,semarnat,293,1289,4877,293,4133,2033,6459,2844
57,2013,ssa,331,976,4522,331,1792,3706,5829,816
58,2013,pemex,122,1043,3783,122,1657,3169,4948,614
59,2013,segob,461,1881,2212,461,2255,1838,4554,374
60,2013,shcp,129,1087,3313,129,1725,2675,4529,638
61,2013,organismo descentralizado,340,414,3369,340,2119,1664,4123,1705
62,2013,organismo autonomo,192,474,2810,192,1346,1938,3476,872
63,2013,sct,187,974,2279,187,1194,2059,3440,220
64,2013,cofepris,34,1076,2052,34,1181,1947,3162,105
65,2013,pgr,164,697,1806,164,787,1716,2667,90
66,2013,sfp,67,1309,1281,67,1493,1097,2657,184
67,2013,se,48,516,1830,48,928,1418,2394,412
68,2013,sedesol,74,357,1961,74,925,1393,2392,568
69,2013,cfe,199,231,1891,199,1877,245,2321,1646
70,2013,sedena,43,347,1884,43,775,1456,2274,428
71,2013,sat,166,961,1088,166,1255,794,2215,294
72,2013,sagarpa,62,452,1524,62,698,1278,2038,246
73,2013,conacyt,66,258,1685,66,665,1278,2009,407
74,2013,presidencia de la republica,35,579,1296,35,601,1274,1910,22
