key_0,en_proceso_calidad_respuesta,no_respondida__calidad_respuesta,satisfactoria_calidad_respuesta,en_proceso_calidad_respuesta_real,no_respondida__calidad_respuesta_real,satisfactoria_calidad_respuesta_real,total
instituto mexicano del seguro social (imss),2538,8644,63764,2538,45006,27402,74946
sep,7486,3276,60258,7486,21975,41559,71020
semarnat,2306,9145,49024,2306,44682,13487,60475
ssa,2765,3140,46492,2765,14698,34934,52397
cofepris,1888,18419,21246,1888,21595,18070,41553
organismo descentralizado,4581,1446,32053,4581,15841,17658,38080
organismo autonomo,1784,4608,29474,1784,14543,19539,35866
pemex,1044,6530,27668,1044,14013,20185,35242
shcp,2298,1740,28481,2298,10483,19738,32519
segob,3683,4857,22443,3683,10980,16320,30983
sct,1547,1773,26175,1547,15191,12757,29495
pgr,4105,2629,22628,4105,7452,17805,29362
poder judicial de la federacion,1104,1173,20665,1104,9704,12134,22942
sfp,1234,5772,14654,1234,11146,9280,21660
cfe,1468,3390,16459,1468,18426,1423,21317
conacyt,816,1622,18710,816,7886,12446,21148
sedena,396,1153,18887,396,5665,14375,20436
ipn,768,1280,17255,768,2449,16086,19303
sagarpa,506,801,17411,506,3572,14640,18718
se,497,1490,14788,497,5976,10302,16775
sat,1293,5625,8847,1293,7527,6945,15765
stps,1179,1322,11744,1179,3993,9073,14245
presidencia de la republica,370,2728,11013,370,3014,10727,14111
sedesol,572,747,12696,572,4858,8585,14015
inai,566,926,11741,566,9160,3507,13233
hospitales,696,350,11634,696,3651,8333,12680
empresas de participacion estatal,595,1205,10140,595,4011,7334,11940
sre,777,1462,9155,777,4782,5835,11394
banca de desarrollo,426,1846,9092,426,5233,5705,11364
sader,249,1165,9354,249,3362,7157,10768
sedatu,533,718,9337,533,3852,6203,10588
ine,657,2344,7582,657,5959,3967,10583
partidos politicos,317,290,9669,317,2806,7153,10276
sectur,395,956,8171,395,2836,6291,9522
profeco,2105,706,6683,2105,2441,4948,9494
administracion portuaria integral,463,611,8178,463,3415,5374,9252
procuraduría federal del consumidor,231,512,7729,231,2747,5494,8472
instituto mexicano de la propiedad industrial,212,417,7816,212,1507,6726,8445
sener,255,2069,5994,255,3443,4620,8318
semar,208,304,7603,208,1417,6490,8115
policia federal,365,1979,5732,365,2740,4971,8076
secretaría de cultura,326,194,7512,326,1094,6612,8032
scjn,1009,337,6649,1009,3181,3805,7995
camara de dipuados,198,57,7296,198,3538,3815,7551
instituto nacional de migración,322,984,6193,322,2081,5096,7499
unam,420,318,6717,420,4212,2823,7455
instituto federal de telecomunicaciones (ift),196,762,5970,196,2710,4022,6928
tribunales administrativos,400,343,5549,400,1325,4567,6292
cnbv,357,3375,2205,357,3661,1919,5937
inah,195,200,5324,195,3397,2127,5719
registro agrario nacional,427,482,4768,427,1281,3969,5677
instituto del fondo nacional de la vivienda para los trabajadores,443,253,4726,443,1218,3761,5422
sindicatos,180,1453,3515,180,1955,3013,5148
secretariado ejecutivo del sistema nacional de seguridad pública,130,1178,3409,130,2261,2326,4717
sae,44,597,3981,44,1698,2880,4622
aeropuertos y servicios auxiliares (asa),283,464,3864,283,2863,1465,4611
archivo general de la nación,194,62,4291,194,704,3649,4547
senado de la república,131,18,3825,131,805,3038,3974
secretaria de bienestar,122,35,3572,122,1226,2381,3729
lotenal,93,14,3488,93,1863,1639,3595
auditoría superior de la federación,279,341,2832,279,1996,1177,3452
capufe,103,48,3181,103,233,2996,3332
sspc,62,553,2424,62,1008,1969,3039
administracion publica federal,127,894,1626,127,1195,1325,2647
instituciones de educacion superior autonomas,53,49,2254,53,428,1875,2356
